Program "PAW_quantitative_report.py" run on Tue Aug 30 08:10:49 2016

	=SUBTOTAL(109,B5:B6278)														Total	Total	Total	Total	Total	Total	Total	Total	Total	Total	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected
913	1	sp|O43815|STRN_HUMAN	 	 	sp|O43815|STRN_HUMAN, sp|Q13033|STRN3_HUMAN, sp|Q9NRL3|STRN4_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/STRN_HUMAN", "STRN_HUMAN")		45.4	780	86131	Striatin OS=Homo sapiens GN=STRN PE=1 SV=4	124	112	0.903	8	14	14	12	15	13	13	16	12	7	8	11	14	12	15	9	10	14	12	7	8.000	12.435	14.000	12.000	15.000	11.000	11.579	15.077	12.000	7.000
914	1	sp|O43818|U3IP2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/U3IP2_HUMAN", "U3IP2_HUMAN")		25.1	475	51840	U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens GN=RRP9 PE=1 SV=1	34	34	1.000	1	4	6	3	4	0	2	6	5	3	1	4	6	3	4	0	2	6	5	3	1.000	4.000	6.000	3.000	4.000	0.000	2.000	6.000	5.000	3.000
915	1	sp|O43819|SCO2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SCO2_HUMAN", "SCO2_HUMAN")		24.1	266	29810	Protein SCO2 homolog, mitochondrial OS=Homo sapiens GN=SCO2 PE=1 SV=3	5	5	1.000	0	1	0	1	1	0	2	0	0	0	0	1	0	1	1	0	2	0	0	0	0.000	1.000	0.000	1.000	1.000	0.000	2.000	0.000	0.000	0.000
916	1	sp|O43823|AKAP8_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/AKAP8_HUMAN", "AKAP8_HUMAN")		26.6	692	76107	A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1	107	107	1.000	10	15	9	10	16	6	16	4	16	5	10	15	9	10	16	6	16	4	16	5	10.000	15.000	9.000	10.000	16.000	6.000	16.000	4.000	16.000	5.000
917	1	sp|O43837|IDH3B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/IDH3B_HUMAN", "IDH3B_HUMAN")		50.1	385	42183	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens GN=IDH3B PE=1 SV=2	123	123	1.000	7	13	13	12	9	7	14	17	15	16	7	13	13	12	9	7	14	17	15	16	7.000	13.000	13.000	12.000	9.000	7.000	14.000	17.000	15.000	16.000
918	1	sp|O43847|NRDC_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NRDC_HUMAN", "NRDC_HUMAN")		24.0	1150	131570	Nardilysin OS=Homo sapiens GN=NRD1 PE=1 SV=2	82	82	1.000	5	9	15	10	13	2	3	5	11	9	5	9	15	10	13	2	3	5	11	9	5.000	9.000	15.000	10.000	13.000	2.000	3.000	5.000	11.000	9.000
919	1	sp|O43852|CALU_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CALU_HUMAN", "CALU_HUMAN")		75.6	315	37106	Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2	601	589	0.980	37	25	41	74	68	31	41	20	136	128	37	25	39	71	67	31	41	20	133	125	37.000	25.000	39.940	72.224	67.406	31.000	41.000	20.000	134.150	126.078
920	1	sp|O43861|ATP9B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ATP9B_HUMAN", "ATP9B_HUMAN")		3.4	1147	129302	Probable phospholipid-transporting ATPase IIB OS=Homo sapiens GN=ATP9B PE=2 SV=4	2	2	1.000	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000
921	1	sp|O43865|SAHH2_HUMAN	 	 	sp|O43865|SAHH2_HUMAN, sp|P23526|SAHH_HUMAN, sp|Q96HN2|SAHH3_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/SAHH2_HUMAN", "SAHH2_HUMAN")		52.3	530	58951	Adenosylhomocysteinase 2 OS=Homo sapiens GN=AHCYL1 PE=1 SV=2	145	44	0.303	14	15	19	14	10	11	14	13	22	13	7	4	5	4	3	3	5	3	7	3	11.900	9.771	10.260	11.252	6.638	7.000	10.068	6.905	17.500	11.081
922	1	sp|O43896|KIF1C_HUMAN	 	 	sp|O43896|KIF1C_HUMAN, sp|O60333|KIF1B_HUMAN, sp|Q12756|KIF1A_HUMAN, sp|Q96L93|KI16B_HUMAN, sp|Q9H1H9|KI13A_HUMAN, sp|Q9NQT8|KI13B_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/KIF1C_HUMAN", "KIF1C_HUMAN")		21.3	1103	122945	Kinesin-like protein KIF1C OS=Homo sapiens GN=KIF1C PE=1 SV=3	73	38	0.521	6	9	12	10	5	6	5	7	9	4	4	5	4	6	2	4	2	3	8	0	4.000	5.000	5.000	6.000	2.000	4.000	2.000	4.000	8.000	0.000
923	1	sp|O43897|TLL1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TLL1_HUMAN", "TLL1_HUMAN")		6.7	1013	114707	Tolloid-like protein 1 OS=Homo sapiens GN=TLL1 PE=1 SV=1	13	13	1.000	0	0	0	5	4	0	0	0	2	2	0	0	0	5	4	0	0	0	2	2	0.000	0.000	0.000	5.000	4.000	0.000	0.000	0.000	2.000	2.000
924	1	sp|O43920|NDUS5_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NDUS5_HUMAN", "NDUS5_HUMAN")		61.3	106	12517	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Homo sapiens GN=NDUFS5 PE=1 SV=3	79	79	1.000	9	9	13	10	5	5	7	6	12	3	9	9	13	10	5	5	7	6	12	3	9.000	9.000	13.000	10.000	5.000	5.000	7.000	6.000	12.000	3.000
925	1	sp|O43924|PDE6D_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PDE6D_HUMAN", "PDE6D_HUMAN")		20.7	150	17420	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta OS=Homo sapiens GN=PDE6D PE=1 SV=1	16	16	1.000	2	0	3	3	1	1	0	3	1	2	2	0	3	3	1	1	0	3	1	2	2.000	0.000	3.000	3.000	1.000	1.000	0.000	3.000	1.000	2.000
926	1	sp|O43929|ORC4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ORC4_HUMAN", "ORC4_HUMAN")		8.5	436	50377	Origin recognition complex subunit 4 OS=Homo sapiens GN=ORC4 PE=1 SV=2	5	5	1.000	2	0	1	1	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	2.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000
927	1	sp|O60216|RAD21_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RAD21_HUMAN", "RAD21_HUMAN")		33.3	631	71689	Double-strand-break repair protein rad21 homolog OS=Homo sapiens GN=RAD21 PE=1 SV=2	90	90	1.000	10	7	12	14	9	5	6	8	15	4	10	7	12	14	9	5	6	8	15	4	10.000	7.000	12.000	14.000	9.000	5.000	6.000	8.000	15.000	4.000
928	1	sp|O60218|AK1BA_HUMAN	 	 	sp|C9JRZ8|AK1BF_HUMAN, sp|O60218|AK1BA_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/AK1BA_HUMAN", "AK1BA_HUMAN")		19.0	316	36019	Aldo-keto reductase family 1 member B10 OS=Homo sapiens GN=AKR1B10 PE=1 SV=2	9	8	0.889	1	0	2	1	1	0	1	0	0	3	1	0	1	1	1	0	1	0	0	3	1.000	0.000	2.000	1.000	1.000	0.000	1.000	0.000	0.000	3.000
929	1	sp|O60220|TIM8A_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TIM8A_HUMAN", "TIM8A_HUMAN")		55.7	97	10998	Mitochondrial import inner membrane translocase subunit Tim8 A OS=Homo sapiens GN=TIMM8A PE=1 SV=1	65	65	1.000	5	8	17	4	8	8	5	5	4	1	5	8	17	4	8	8	5	5	4	1	5.000	8.000	17.000	4.000	8.000	8.000	5.000	5.000	4.000	1.000
930	1	sp|O60231|DHX16_HUMAN	 	 	sp|O43143|DHX15_HUMAN, sp|O60231|DHX16_HUMAN, sp|Q14562|DHX8_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/DHX16_HUMAN", "DHX16_HUMAN")		15.2	1041	119262	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens GN=DHX16 PE=1 SV=2	62	50	0.806	6	13	10	4	4	4	9	2	9	1	5	9	9	2	4	4	7	2	7	1	5.098	9.720	9.134	2.077	4.000	4.000	7.378	2.000	7.215	1.000
931	1	sp|O60232|SSA27_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SSA27_HUMAN", "SSA27_HUMAN")		42.7	199	21474	Sjoegren syndrome/scleroderma autoantigen 1 OS=Homo sapiens GN=SSSCA1 PE=1 SV=1	109	109	1.000	12	20	8	14	3	9	16	7	18	2	12	20	8	14	3	9	16	7	18	2	12.000	20.000	8.000	14.000	3.000	9.000	16.000	7.000	18.000	2.000
932	1	sp|O60234|GMFG_HUMAN	 	 	sp|O60234|GMFG_HUMAN, sp|P60983|GMFB_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/GMFG_HUMAN", "GMFG_HUMAN")		73.9	142	16801	Glia maturation factor gamma OS=Homo sapiens GN=GMFG PE=1 SV=1	293	109	0.372	18	53	46	44	28	15	26	24	26	13	8	23	18	13	11	7	13	10	3	3	14.154	46.793	36.667	38.188	20.350	12.091	22.941	19.333	9.273	7.286
933	1	sp|O60244|MED14_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/MED14_HUMAN", "MED14_HUMAN")		3.3	1454	160605	Mediator of RNA polymerase II transcription subunit 14 OS=Homo sapiens GN=MED14 PE=1 SV=2	6	6	1.000	0	0	4	0	1	0	0	1	0	0	0	0	4	0	1	0	0	1	0	0	0.000	0.000	4.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000
934	1	sp|O60256|KPRB_HUMAN	 	 	sp|O60256|KPRB_HUMAN, sp|Q14558|KPRA_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/KPRB_HUMAN", "KPRB_HUMAN")		43.4	369	40925	Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens GN=PRPSAP2 PE=1 SV=1	71	50	0.704	7	10	14	5	5	5	8	9	6	2	7	8	10	3	1	3	6	7	4	1	7.000	8.941	11.600	3.545	1.364	3.857	7.200	8.077	4.800	1.500
935	1	sp|O60264|SMCA5_HUMAN	 	 	sp|O60264|SMCA5_HUMAN, sp|P28370|SMCA1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/SMCA5_HUMAN", "SMCA5_HUMAN")		40.7	1052	121904	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1	227	167	0.736	17	22	44	25	41	9	17	11	21	20	14	16	34	21	28	5	10	8	19	12	16.800	22.000	41.907	24.818	40.133	9.000	17.000	11.000	20.652	20.000
936	1	sp|O60271|JIP4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/JIP4_HUMAN", "JIP4_HUMAN")		36.4	1321	146204	C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=4	261	261	1.000	23	22	39	16	35	17	23	37	28	21	23	22	39	16	35	17	23	37	28	21	23.000	22.000	39.000	16.000	35.000	17.000	23.000	37.000	28.000	21.000
937	1	sp|O60287|NPA1P_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NPA1P_HUMAN", "NPA1P_HUMAN")		3.6	2271	254386	Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens GN=URB1 PE=1 SV=4	14	14	1.000	1	0	3	2	4	0	0	0	2	2	1	0	3	2	4	0	0	0	2	2	1.000	0.000	3.000	2.000	4.000	0.000	0.000	0.000	2.000	2.000
938	1	sp|O60306|AQR_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/AQR_HUMAN", "AQR_HUMAN")		13.9	1485	171293	Intron-binding protein aquarius OS=Homo sapiens GN=AQR PE=1 SV=4	46	46	1.000	9	5	6	3	6	4	5	1	4	3	9	5	6	3	6	4	5	1	4	3	9.000	5.000	6.000	3.000	6.000	4.000	5.000	1.000	4.000	3.000
939	1	sp|O60313|OPA1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/OPA1_HUMAN", "OPA1_HUMAN")		44.4	960	111629	Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=3	105	105	1.000	8	11	17	6	10	12	12	12	11	6	8	11	17	6	10	12	12	12	11	6	8.000	11.000	17.000	6.000	10.000	12.000	12.000	12.000	11.000	6.000
941	1	sp|O60341|KDM1A_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/KDM1A_HUMAN", "KDM1A_HUMAN")		23.9	852	92902	Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=2	35	35	1.000	5	6	3	7	4	1	0	1	7	1	5	6	3	7	4	1	0	1	7	1	5.000	6.000	3.000	7.000	4.000	1.000	0.000	1.000	7.000	1.000
942	1	sp|O60343|TBCD4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TBCD4_HUMAN", "TBCD4_HUMAN")		21.0	1298	146562	TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4 PE=1 SV=2	97	89	0.918	8	13	12	12	11	8	7	13	8	5	6	13	12	9	9	7	7	13	8	5	8.000	13.000	12.000	12.000	11.000	8.000	7.000	13.000	8.000	5.000
943	1	sp|O60353|FZD6_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/FZD6_HUMAN", "FZD6_HUMAN")		10.3	706	79291	Frizzled-6 OS=Homo sapiens GN=FZD6 PE=1 SV=2	9	9	1.000	0	1	1	0	1	2	0	0	4	0	0	1	1	0	1	2	0	0	4	0	0.000	1.000	1.000	0.000	1.000	2.000	0.000	0.000	4.000	0.000
944	1	sp|O60381|HBP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/HBP1_HUMAN", "HBP1_HUMAN")		10.9	514	57645	HMG box-containing protein 1 OS=Homo sapiens GN=HBP1 PE=1 SV=2	3	3	1.000	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
945	1	sp|O60437|PEPL_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PEPL_HUMAN", "PEPL_HUMAN")		7.1	1756	204744	Periplakin OS=Homo sapiens GN=PPL PE=1 SV=4	13	13	1.000	1	3	8	0	1	0	0	0	0	0	1	3	8	0	1	0	0	0	0	0	1.000	3.000	8.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
946	1	sp|O60443|DFNA5_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DFNA5_HUMAN", "DFNA5_HUMAN")		34.9	496	54554	Non-syndromic hearing impairment protein 5 OS=Homo sapiens GN=DFNA5 PE=1 SV=2	93	93	1.000	11	8	23	12	18	5	4	5	3	4	11	8	23	12	18	5	4	5	3	4	11.000	8.000	23.000	12.000	18.000	5.000	4.000	5.000	3.000	4.000
947	1	sp|O60462|NRP2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NRP2_HUMAN", "NRP2_HUMAN")		23.1	931	104857	Neuropilin-2 OS=Homo sapiens GN=NRP2 PE=1 SV=2	85	85	1.000	9	9	17	7	24	2	5	3	2	7	9	9	17	7	24	2	5	3	2	7	9.000	9.000	17.000	7.000	24.000	2.000	5.000	3.000	2.000	7.000
948	1	sp|O60476|MA1A2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/MA1A2_HUMAN", "MA1A2_HUMAN")		8.1	641	73003	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB OS=Homo sapiens GN=MAN1A2 PE=1 SV=1	5	5	1.000	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	4.000
949	1	sp|O60487|MPZL2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/MPZL2_HUMAN", "MPZL2_HUMAN")		10.7	215	24484	Myelin protein zero-like protein 2 OS=Homo sapiens GN=MPZL2 PE=1 SV=1	2	2	1.000	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000
950	1	sp|O60488|ACSL4_HUMAN	 	 	sp|O60488|ACSL4_HUMAN, sp|O95573|ACSL3_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/ACSL4_HUMAN", "ACSL4_HUMAN")		56.8	711	79187	Long-chain-fatty-acid--CoA ligase 4 OS=Homo sapiens GN=ACSL4 PE=1 SV=2	201	136	0.677	19	30	28	23	11	15	25	26	16	8	14	19	20	18	7	11	15	14	13	5	15.795	23.976	23.137	19.957	8.217	13.095	18.846	18.098	13.848	5.577
951	1	sp|O60493|SNX3_HUMAN	 	 	sp|O60493|SNX3_HUMAN, sp|Q9UMY4|SNX12_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/SNX3_HUMAN", "SNX3_HUMAN")		84.0	162	18762	Sorting nexin-3 OS=Homo sapiens GN=SNX3 PE=1 SV=3	347	313	0.902	31	55	36	43	23	34	39	29	39	18	28	49	30	40	22	32	34	26	36	16	30.000	53.141	34.390	42.553	22.688	33.306	37.269	28.167	38.204	17.391
952	1	sp|O60502|OGA_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/OGA_HUMAN", "OGA_HUMAN")		42.0	916	102914	Protein O-GlcNAcase OS=Homo sapiens GN=MGEA5 PE=1 SV=2	176	176	1.000	12	29	19	9	18	17	27	21	18	6	12	29	19	9	18	17	27	21	18	6	12.000	29.000	19.000	9.000	18.000	17.000	27.000	21.000	18.000	6.000
953	1	sp|O60504|VINEX_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/VINEX_HUMAN", "VINEX_HUMAN")		23.8	671	75340	Vinexin OS=Homo sapiens GN=SORBS3 PE=1 SV=2	81	81	1.000	5	9	16	5	8	8	5	11	10	4	5	9	16	5	8	8	5	11	10	4	5.000	9.000	16.000	5.000	8.000	8.000	5.000	11.000	10.000	4.000
954	1	sp|O60506|HNRPQ_HUMAN	 	 	sp|O43390|HNRPR_HUMAN, sp|O60506|HNRPQ_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/HNRPQ_HUMAN", "HNRPQ_HUMAN")		65.7	623	69602	Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2	1903	1381	0.726	195	236	230	197	188	145	175	157	202	178	149	157	173	149	131	100	124	120	150	128	176.307	203.628	207.722	178.925	162.112	125.000	155.000	145.085	181.579	159.373
955	1	sp|O60508|PRP17_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PRP17_HUMAN", "PRP17_HUMAN")		31.3	579	65521	Pre-mRNA-processing factor 17 OS=Homo sapiens GN=CDC40 PE=1 SV=1	27	27	1.000	3	3	5	1	5	1	2	3	2	2	3	3	5	1	5	1	2	3	2	2	3.000	3.000	5.000	1.000	5.000	1.000	2.000	3.000	2.000	2.000
956	1	sp|O60518|RNBP6_HUMAN	 	 	sp|O00410|IPO5_HUMAN, sp|O60518|RNBP6_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/RNBP6_HUMAN", "RNBP6_HUMAN")		13.5	1105	124712	Ran-binding protein 6 OS=Homo sapiens GN=RANBP6 PE=1 SV=2	45	14	0.311	2	1	15	6	5	0	3	5	6	2	1	0	4	0	1	0	2	4	1	1	1.008	0.000	4.299	0.000	1.027	0.000	2.027	4.069	1.041	1.012
957	1	sp|O60524|NEMF_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NEMF_HUMAN", "NEMF_HUMAN")		17.0	1076	122953	Nuclear export mediator factor NEMF OS=Homo sapiens GN=NEMF PE=1 SV=4	44	44	1.000	1	7	6	6	2	5	0	7	5	5	1	7	6	6	2	5	0	7	5	5	1.000	7.000	6.000	6.000	2.000	5.000	0.000	7.000	5.000	5.000
958	1	sp|O60547|GMDS_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/GMDS_HUMAN", "GMDS_HUMAN")		39.5	372	41949	GDP-mannose 4,6 dehydratase OS=Homo sapiens GN=GMDS PE=1 SV=1	61	61	1.000	4	2	20	6	4	7	2	6	7	3	4	2	20	6	4	7	2	6	7	3	4.000	2.000	20.000	6.000	4.000	7.000	2.000	6.000	7.000	3.000
959	1	sp|O60551|NMT2_HUMAN	 	 	sp|O60551|NMT2_HUMAN, sp|P30419|NMT1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/NMT2_HUMAN", "NMT2_HUMAN")		35.9	498	56980	Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens GN=NMT2 PE=1 SV=1	161	137	0.851	17	19	24	29	13	13	15	6	19	6	12	19	16	26	7	13	15	6	18	5	13.935	19.000	20.571	27.773	9.211	13.000	15.000	6.000	18.462	5.263
960	1	sp|O60563|CCNT1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CCNT1_HUMAN", "CCNT1_HUMAN")		5.2	726	80684	Cyclin-T1 OS=Homo sapiens GN=CCNT1 PE=1 SV=1	12	12	1.000	1	2	2	2	1	0	1	1	1	1	1	2	2	2	1	0	1	1	1	1	1.000	2.000	2.000	2.000	1.000	0.000	1.000	1.000	1.000	1.000
961	1	sp|O60566|BUB1B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/BUB1B_HUMAN", "BUB1B_HUMAN")		6.4	1050	119544	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta OS=Homo sapiens GN=BUB1B PE=1 SV=3	3	3	1.000	0	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0.000	1.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
962	1	sp|O60568|PLOD3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PLOD3_HUMAN", "PLOD3_HUMAN")		56.0	738	84784	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Homo sapiens GN=PLOD3 PE=1 SV=1	437	437	1.000	27	29	27	27	52	40	60	52	64	59	27	29	27	27	52	40	60	52	64	59	27.000	29.000	27.000	27.000	52.000	40.000	60.000	52.000	64.000	59.000
963	1	sp|O60573|IF4E2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/IF4E2_HUMAN", "IF4E2_HUMAN")		33.1	245	28362	Eukaryotic translation initiation factor 4E type 2 OS=Homo sapiens GN=EIF4E2 PE=1 SV=1	8	8	1.000	1	0	2	0	0	0	0	1	3	1	1	0	2	0	0	0	0	1	3	1	1.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	3.000	1.000
964	1	sp|O60583|CCNT2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CCNT2_HUMAN", "CCNT2_HUMAN")		4.7	730	81028	Cyclin-T2 OS=Homo sapiens GN=CCNT2 PE=1 SV=2	3	3	1.000	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
965	1	sp|O60610|DIAP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DIAP1_HUMAN", "DIAP1_HUMAN")		43.0	1272	141346	Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2	401	401	1.000	36	33	76	32	52	30	30	44	41	27	36	33	76	32	52	30	30	44	41	27	36.000	33.000	76.000	32.000	52.000	30.000	30.000	44.000	41.000	27.000
966	1	sp|O60613|SEP15_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SEP15_HUMAN", "SEP15_HUMAN")		35.8	162	17790	15 kDa selenoprotein OS=Homo sapiens GN=SEP15 PE=1 SV=3	120	120	1.000	11	9	12	11	12	18	16	11	14	6	11	9	12	11	12	18	16	11	14	6	11.000	9.000	12.000	11.000	12.000	18.000	16.000	11.000	14.000	6.000
967	1	sp|O60645|EXOC3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/EXOC3_HUMAN", "EXOC3_HUMAN")		34.9	756	86844	Exocyst complex component 3 OS=Homo sapiens GN=EXOC3 PE=1 SV=2	56	56	1.000	4	3	17	4	11	2	3	4	5	3	4	3	17	4	11	2	3	4	5	3	4.000	3.000	17.000	4.000	11.000	2.000	3.000	4.000	5.000	3.000
968	1	sp|O60658|PDE8A_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PDE8A_HUMAN", "PDE8A_HUMAN")		4.0	829	93303	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A OS=Homo sapiens GN=PDE8A PE=1 SV=2	5	5	1.000	0	0	1	3	0	0	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0.000	0.000	1.000	3.000	0.000	0.000	0.000	0.000	1.000	0.000
969	1	sp|O60664|PLIN3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PLIN3_HUMAN", "PLIN3_HUMAN")		77.0	434	47074	Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=3	709	709	1.000	75	87	89	54	66	56	63	72	92	55	75	87	89	54	66	56	63	72	92	55	75.000	87.000	89.000	54.000	66.000	56.000	63.000	72.000	92.000	55.000
970	1	sp|O60678|ANM3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ANM3_HUMAN", "ANM3_HUMAN")		14.1	531	59875	Protein arginine N-methyltransferase 3 OS=Homo sapiens GN=PRMT3 PE=1 SV=3	14	14	1.000	2	3	2	3	0	0	2	0	2	0	2	3	2	3	0	0	2	0	2	0	2.000	3.000	2.000	3.000	0.000	0.000	2.000	0.000	2.000	0.000
972	1	sp|O60687|SRPX2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SRPX2_HUMAN", "SRPX2_HUMAN")		8.2	465	52971	Sushi repeat-containing protein SRPX2 OS=Homo sapiens GN=SRPX2 PE=1 SV=1	7	7	1.000	1	2	1	0	0	0	1	0	2	0	1	2	1	0	0	0	1	0	2	0	1.000	2.000	1.000	0.000	0.000	0.000	1.000	0.000	2.000	0.000
973	1	sp|O60701|UGDH_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/UGDH_HUMAN", "UGDH_HUMAN")		82.8	494	55023	UDP-glucose 6-dehydrogenase OS=Homo sapiens GN=UGDH PE=1 SV=1	617	617	1.000	53	86	64	49	57	55	61	54	79	59	53	86	64	49	57	55	61	54	79	59	53.000	86.000	64.000	49.000	57.000	55.000	61.000	54.000	79.000	59.000
